"Period_id","Period","Period_Day","Periode_Date","Periode_Timestamp","Day_of_Month","Day_of_Year","Week_of_Month","Week_of_Year","Week_Number","Month","Month_Name","Month_Number","Trimester","Semester","Year","Date_Creation"
126,,,06.05.10,,,,,,,,,,,,,
127,,,07.05.10,,,,,,,,,,,,,
128,,,08.05.10,,,,,,,,,,,,,
129,,,09.05.10,,,,,,,,,,,,,
130,,,10.05.10,,,,,,,,,,,,,
131,,,11.05.10,,,,,,,,,,,,,
132,,,12.05.10,,,,,,,,,,,,,
133,,,13.05.10,,,,,,,,,,,,,
134,,,14.05.10,,,,,,,,,,,,,
135,,,15.05.10,,,,,,,,,,,,,
136,,,16.05.10,,,,,,,,,,,,,
137,,,17.05.10,,,,,,,,,,,,,
138,,,18.05.10,,,,,,,,,,,,,
139,,,19.05.10,,,,,,,,,,,,,
140,,,20.05.10,,,,,,,,,,,,,
141,,,21.05.10,,,,,,,,,,,,,
142,,,22.05.10,,,,,,,,,,,,,
143,,,23.05.10,,,,,,,,,,,,,
144,,,24.05.10,,,,,,,,,,,,,
145,,,25.05.10,,,,,,,,,,,,,
146,,,26.05.10,,,,,,,,,,,,,
147,,,27.05.10,,,,,,,,,,,,,
148,,,28.05.10,,,,,,,,,,,,,
149,,,29.05.10,,,,,,,,,,,,,
150,,,30.05.10,,,,,,,,,,,,,
151,,,31.05.10,,,,,,,,,,,,,
152,,,01.06.10,,,,,,,,,,,,,
153,,,02.06.10,,,,,,,,,,,,,
154,,,03.06.10,,,,,,,,,,,,,
155,,,04.06.10,,,,,,,,,,,,,
156,,,05.06.10,,,,,,,,,,,,,
157,,,06.06.10,,,,,,,,,,,,,
158,,,07.06.10,,,,,,,,,,,,,
159,,,08.06.10,,,,,,,,,,,,,
160,,,09.06.10,,,,,,,,,,,,,
161,,,10.06.10,,,,,,,,,,,,,
162,,,11.06.10,,,,,,,,,,,,,
163,,,12.06.10,,,,,,,,,,,,,
164,,,13.06.10,,,,,,,,,,,,,
165,,,14.06.10,,,,,,,,,,,,,
166,,,15.06.10,,,,,,,,,,,,,
167,,,16.06.10,,,,,,,,,,,,,
168,,,17.06.10,,,,,,,,,,,,,
169,,,18.06.10,,,,,,,,,,,,,
170,,,19.06.10,,,,,,,,,,,,,
171,,,20.06.10,,,,,,,,,,,,,
172,,,21.06.10,,,,,,,,,,,,,
173,,,22.06.10,,,,,,,,,,,,,
174,,,23.06.10,,,,,,,,,,,,,
175,,,24.06.10,,,,,,,,,,,,,
176,,,25.06.10,,,,,,,,,,,,,
177,,,26.06.10,,,,,,,,,,,,,
178,,,27.06.10,,,,,,,,,,,,,
179,,,28.06.10,,,,,,,,,,,,,
180,,,29.06.10,,,,,,,,,,,,,
181,,,30.06.10,,,,,,,,,,,,,
182,,,01.07.10,,,,,,,,,,,,,
183,,,02.07.10,,,,,,,,,,,,,
184,,,03.07.10,,,,,,,,,,,,,
185,,,04.07.10,,,,,,,,,,,,,
186,,,05.07.10,,,,,,,,,,,,,
187,,,06.07.10,,,,,,,,,,,,,
188,,,07.07.10,,,,,,,,,,,,,
189,,,08.07.10,,,,,,,,,,,,,
190,,,09.07.10,,,,,,,,,,,,,
191,,,10.07.10,,,,,,,,,,,,,
192,,,11.07.10,,,,,,,,,,,,,
193,,,12.07.10,,,,,,,,,,,,,
194,,,13.07.10,,,,,,,,,,,,,
195,,,14.07.10,,,,,,,,,,,,,
196,,,15.07.10,,,,,,,,,,,,,
197,,,16.07.10,,,,,,,,,,,,,
198,,,17.07.10,,,,,,,,,,,,,
199,,,18.07.10,,,,,,,,,,,,,
200,,,19.07.10,,,,,,,,,,,,,
201,,,20.07.10,,,,,,,,,,,,,
202,,,21.07.10,,,,,,,,,,,,,
203,,,22.07.10,,,,,,,,,,,,,
204,,,23.07.10,,,,,,,,,,,,,
205,,,24.07.10,,,,,,,,,,,,,
206,,,25.07.10,,,,,,,,,,,,,
207,,,26.07.10,,,,,,,,,,,,,
208,,,27.07.10,,,,,,,,,,,,,
209,,,28.07.10,,,,,,,,,,,,,
210,,,29.07.10,,,,,,,,,,,,,
211,,,30.07.10,,,,,,,,,,,,,
212,,,31.07.10,,,,,,,,,,,,,
213,,,01.08.10,,,,,,,,,,,,,
214,,,02.08.10,,,,,,,,,,,,,
215,,,03.08.10,,,,,,,,,,,,,
216,,,04.08.10,,,,,,,,,,,,,
217,,,05.08.10,,,,,,,,,,,,,
218,,,06.08.10,,,,,,,,,,,,,
219,,,07.08.10,,,,,,,,,,,,,
220,,,08.08.10,,,,,,,,,,,,,
221,,,09.08.10,,,,,,,,,,,,,
222,,,10.08.10,,,,,,,,,,,,,
223,,,11.08.10,,,,,,,,,,,,,
224,,,12.08.10,,,,,,,,,,,,,
225,,,13.08.10,,,,,,,,,,,,,
226,,,14.08.10,,,,,,,,,,,,,
227,,,15.08.10,,,,,,,,,,,,,
228,,,16.08.10,,,,,,,,,,,,,
229,,,17.08.10,,,,,,,,,,,,,
230,,,18.08.10,,,,,,,,,,,,,
231,,,19.08.10,,,,,,,,,,,,,
232,,,20.08.10,,,,,,,,,,,,,
233,,,21.08.10,,,,,,,,,,,,,
234,,,22.08.10,,,,,,,,,,,,,
235,,,23.08.10,,,,,,,,,,,,,
236,,,24.08.10,,,,,,,,,,,,,
237,,,25.08.10,,,,,,,,,,,,,
238,,,26.08.10,,,,,,,,,,,,,
239,,,27.08.10,,,,,,,,,,,,,
240,,,28.08.10,,,,,,,,,,,,,
241,,,29.08.10,,,,,,,,,,,,,
242,,,30.08.10,,,,,,,,,,,,,
243,,,31.08.10,,,,,,,,,,,,,
244,,,01.09.10,,,,,,,,,,,,,
245,,,02.09.10,,,,,,,,,,,,,
246,,,03.09.10,,,,,,,,,,,,,
247,,,04.09.10,,,,,,,,,,,,,
248,,,05.09.10,,,,,,,,,,,,,
249,,,06.09.10,,,,,,,,,,,,,
250,,,07.09.10,,,,,,,,,,,,,
251,,,08.09.10,,,,,,,,,,,,,
252,,,09.09.10,,,,,,,,,,,,,
253,,,10.09.10,,,,,,,,,,,,,
254,,,11.09.10,,,,,,,,,,,,,
255,,,12.09.10,,,,,,,,,,,,,
256,,,13.09.10,,,,,,,,,,,,,
257,,,14.09.10,,,,,,,,,,,,,
258,,,15.09.10,,,,,,,,,,,,,
259,,,16.09.10,,,,,,,,,,,,,
260,,,17.09.10,,,,,,,,,,,,,
261,,,18.09.10,,,,,,,,,,,,,
262,,,19.09.10,,,,,,,,,,,,,
263,,,20.09.10,,,,,,,,,,,,,
264,,,21.09.10,,,,,,,,,,,,,
265,,,22.09.10,,,,,,,,,,,,,
266,,,23.09.10,,,,,,,,,,,,,
267,,,24.09.10,,,,,,,,,,,,,
268,,,25.09.10,,,,,,,,,,,,,
269,,,26.09.10,,,,,,,,,,,,,
270,,,27.09.10,,,,,,,,,,,,,
271,,,28.09.10,,,,,,,,,,,,,
272,,,29.09.10,,,,,,,,,,,,,
273,,,30.09.10,,,,,,,,,,,,,
274,,,01.10.10,,,,,,,,,,,,,
275,,,02.10.10,,,,,,,,,,,,,
276,,,03.10.10,,,,,,,,,,,,,
277,,,04.10.10,,,,,,,,,,,,,
278,,,05.10.10,,,,,,,,,,,,,
279,,,06.10.10,,,,,,,,,,,,,
280,,,07.10.10,,,,,,,,,,,,,
281,,,08.10.10,,,,,,,,,,,,,
282,,,09.10.10,,,,,,,,,,,,,
283,,,10.10.10,,,,,,,,,,,,,
284,,,11.10.10,,,,,,,,,,,,,
285,,,12.10.10,,,,,,,,,,,,,
286,,,13.10.10,,,,,,,,,,,,,
287,,,14.10.10,,,,,,,,,,,,,
288,,,15.10.10,,,,,,,,,,,,,
289,,,16.10.10,,,,,,,,,,,,,
290,,,17.10.10,,,,,,,,,,,,,
291,,,18.10.10,,,,,,,,,,,,,
292,,,19.10.10,,,,,,,,,,,,,
293,,,20.10.10,,,,,,,,,,,,,
294,,,21.10.10,,,,,,,,,,,,,
295,,,22.10.10,,,,,,,,,,,,,
296,,,23.10.10,,,,,,,,,,,,,
297,,,24.10.10,,,,,,,,,,,,,
298,,,25.10.10,,,,,,,,,,,,,
299,,,26.10.10,,,,,,,,,,,,,
300,,,27.10.10,,,,,,,,,,,,,
301,,,28.10.10,,,,,,,,,,,,,
302,,,29.10.10,,,,,,,,,,,,,
303,,,30.10.10,,,,,,,,,,,,,
304,,,31.10.10,,,,,,,,,,,,,
305,,,01.11.10,,,,,,,,,,,,,
306,,,02.11.10,,,,,,,,,,,,,
307,,,03.11.10,,,,,,,,,,,,,
308,,,04.11.10,,,,,,,,,,,,,
309,,,05.11.10,,,,,,,,,,,,,
310,,,06.11.10,,,,,,,,,,,,,
311,,,07.11.10,,,,,,,,,,,,,
312,,,08.11.10,,,,,,,,,,,,,
313,,,09.11.10,,,,,,,,,,,,,
314,,,10.11.10,,,,,,,,,,,,,
315,,,11.11.10,,,,,,,,,,,,,
316,,,12.11.10,,,,,,,,,,,,,
317,,,13.11.10,,,,,,,,,,,,,
318,,,14.11.10,,,,,,,,,,,,,
319,,,15.11.10,,,,,,,,,,,,,
320,,,16.11.10,,,,,,,,,,,,,
321,,,17.11.10,,,,,,,,,,,,,
322,,,18.11.10,,,,,,,,,,,,,
323,,,19.11.10,,,,,,,,,,,,,
324,,,20.11.10,,,,,,,,,,,,,
325,,,21.11.10,,,,,,,,,,,,,
326,,,22.11.10,,,,,,,,,,,,,
327,,,23.11.10,,,,,,,,,,,,,
328,,,24.11.10,,,,,,,,,,,,,
329,,,25.11.10,,,,,,,,,,,,,
330,,,26.11.10,,,,,,,,,,,,,
331,,,27.11.10,,,,,,,,,,,,,
332,,,28.11.10,,,,,,,,,,,,,
333,,,29.11.10,,,,,,,,,,,,,
334,,,30.11.10,,,,,,,,,,,,,
335,,,01.12.10,,,,,,,,,,,,,
336,,,02.12.10,,,,,,,,,,,,,
337,,,03.12.10,,,,,,,,,,,,,
338,,,04.12.10,,,,,,,,,,,,,
339,,,05.12.10,,,,,,,,,,,,,
340,,,06.12.10,,,,,,,,,,,,,
341,,,07.12.10,,,,,,,,,,,,,
342,,,08.12.10,,,,,,,,,,,,,
343,,,09.12.10,,,,,,,,,,,,,
344,,,10.12.10,,,,,,,,,,,,,
345,,,11.12.10,,,,,,,,,,,,,
346,,,12.12.10,,,,,,,,,,,,,
347,,,13.12.10,,,,,,,,,,,,,
348,,,14.12.10,,,,,,,,,,,,,
349,,,15.12.10,,,,,,,,,,,,,
350,,,16.12.10,,,,,,,,,,,,,
351,,,17.12.10,,,,,,,,,,,,,
352,,,18.12.10,,,,,,,,,,,,,
353,,,19.12.10,,,,,,,,,,,,,
354,,,20.12.10,,,,,,,,,,,,,
355,,,21.12.10,,,,,,,,,,,,,
356,,,22.12.10,,,,,,,,,,,,,
357,,,23.12.10,,,,,,,,,,,,,
358,,,24.12.10,,,,,,,,,,,,,
359,,,25.12.10,,,,,,,,,,,,,
360,,,26.12.10,,,,,,,,,,,,,
361,,,27.12.10,,,,,,,,,,,,,
362,,,28.12.10,,,,,,,,,,,,,
363,,,29.12.10,,,,,,,,,,,,,
364,,,30.12.10,,,,,,,,,,,,,
365,,,31.12.10,,,,,,,,,,,,,
366,,,01.01.11,,,,,,,,,,,,,
367,,,02.01.11,,,,,,,,,,,,,
368,,,03.01.11,,,,,,,,,,,,,
369,,,04.01.11,,,,,,,,,,,,,
370,,,05.01.11,,,,,,,,,,,,,
371,,,06.01.11,,,,,,,,,,,,,
372,,,07.01.11,,,,,,,,,,,,,
373,,,08.01.11,,,,,,,,,,,,,
374,,,09.01.11,,,,,,,,,,,,,
375,,,10.01.11,,,,,,,,,,,,,
376,,,11.01.11,,,,,,,,,,,,,
377,,,12.01.11,,,,,,,,,,,,,
378,,,13.01.11,,,,,,,,,,,,,
379,,,14.01.11,,,,,,,,,,,,,
380,,,15.01.11,,,,,,,,,,,,,
381,,,16.01.11,,,,,,,,,,,,,
382,,,17.01.11,,,,,,,,,,,,,
383,,,18.01.11,,,,,,,,,,,,,
384,,,19.01.11,,,,,,,,,,,,,
385,,,20.01.11,,,,,,,,,,,,,
386,,,21.01.11,,,,,,,,,,,,,
387,,,22.01.11,,,,,,,,,,,,,
388,,,23.01.11,,,,,,,,,,,,,
389,,,24.01.11,,,,,,,,,,,,,
390,,,25.01.11,,,,,,,,,,,,,
391,,,26.01.11,,,,,,,,,,,,,
392,,,27.01.11,,,,,,,,,,,,,
393,,,28.01.11,,,,,,,,,,,,,
394,,,29.01.11,,,,,,,,,,,,,
395,,,30.01.11,,,,,,,,,,,,,
396,,,31.01.11,,,,,,,,,,,,,
397,,,01.02.11,,,,,,,,,,,,,
398,,,02.02.11,,,,,,,,,,,,,
399,,,03.02.11,,,,,,,,,,,,,
400,,,04.02.11,,,,,,,,,,,,,
401,,,05.02.11,,,,,,,,,,,,,
402,,,06.02.11,,,,,,,,,,,,,
403,,,07.02.11,,,,,,,,,,,,,
404,,,08.02.11,,,,,,,,,,,,,
405,,,09.02.11,,,,,,,,,,,,,
406,,,10.02.11,,,,,,,,,,,,,
407,,,11.02.11,,,,,,,,,,,,,
408,,,12.02.11,,,,,,,,,,,,,
409,,,13.02.11,,,,,,,,,,,,,
410,,,14.02.11,,,,,,,,,,,,,
411,,,15.02.11,,,,,,,,,,,,,
412,,,16.02.11,,,,,,,,,,,,,
413,,,17.02.11,,,,,,,,,,,,,
414,,,18.02.11,,,,,,,,,,,,,
415,,,19.02.11,,,,,,,,,,,,,
416,,,20.02.11,,,,,,,,,,,,,
417,,,21.02.11,,,,,,,,,,,,,
418,,,22.02.11,,,,,,,,,,,,,
419,,,23.02.11,,,,,,,,,,,,,
420,,,24.02.11,,,,,,,,,,,,,
421,,,25.02.11,,,,,,,,,,,,,
422,,,26.02.11,,,,,,,,,,,,,
423,,,27.02.11,,,,,,,,,,,,,
424,,,28.02.11,,,,,,,,,,,,,
425,,,01.03.11,,,,,,,,,,,,,
426,,,02.03.11,,,,,,,,,,,,,
427,,,03.03.11,,,,,,,,,,,,,
428,,,04.03.11,,,,,,,,,,,,,
429,,,05.03.11,,,,,,,,,,,,,
430,,,06.03.11,,,,,,,,,,,,,
431,,,07.03.11,,,,,,,,,,,,,
432,,,08.03.11,,,,,,,,,,,,,
433,,,09.03.11,,,,,,,,,,,,,
434,,,10.03.11,,,,,,,,,,,,,
435,,,11.03.11,,,,,,,,,,,,,
436,,,12.03.11,,,,,,,,,,,,,
437,,,13.03.11,,,,,,,,,,,,,
438,,,14.03.11,,,,,,,,,,,,,
439,,,15.03.11,,,,,,,,,,,,,
440,,,16.03.11,,,,,,,,,,,,,
441,,,17.03.11,,,,,,,,,,,,,
442,,,18.03.11,,,,,,,,,,,,,
443,,,19.03.11,,,,,,,,,,,,,
444,,,20.03.11,,,,,,,,,,,,,
445,,,21.03.11,,,,,,,,,,,,,
446,,,22.03.11,,,,,,,,,,,,,
447,,,23.03.11,,,,,,,,,,,,,
448,,,24.03.11,,,,,,,,,,,,,
449,,,25.03.11,,,,,,,,,,,,,
450,,,26.03.11,,,,,,,,,,,,,
451,,,27.03.11,,,,,,,,,,,,,
452,,,28.03.11,,,,,,,,,,,,,
453,,,29.03.11,,,,,,,,,,,,,
454,,,30.03.11,,,,,,,,,,,,,
455,,,31.03.11,,,,,,,,,,,,,
456,,,01.04.11,,,,,,,,,,,,,
457,,,02.04.11,,,,,,,,,,,,,
458,,,03.04.11,,,,,,,,,,,,,
459,,,04.04.11,,,,,,,,,,,,,
460,,,05.04.11,,,,,,,,,,,,,
461,,,06.04.11,,,,,,,,,,,,,
462,,,07.04.11,,,,,,,,,,,,,
463,,,08.04.11,,,,,,,,,,,,,
464,,,09.04.11,,,,,,,,,,,,,
465,,,10.04.11,,,,,,,,,,,,,
466,,,11.04.11,,,,,,,,,,,,,
467,,,12.04.11,,,,,,,,,,,,,
468,,,13.04.11,,,,,,,,,,,,,
469,,,14.04.11,,,,,,,,,,,,,
470,,,15.04.11,,,,,,,,,,,,,
471,,,16.04.11,,,,,,,,,,,,,
472,,,17.04.11,,,,,,,,,,,,,
473,,,18.04.11,,,,,,,,,,,,,
474,,,19.04.11,,,,,,,,,,,,,
475,,,20.04.11,,,,,,,,,,,,,
476,,,21.04.11,,,,,,,,,,,,,
477,,,22.04.11,,,,,,,,,,,,,
478,,,23.04.11,,,,,,,,,,,,,
479,,,24.04.11,,,,,,,,,,,,,
480,,,25.04.11,,,,,,,,,,,,,
481,,,26.04.11,,,,,,,,,,,,,
482,,,27.04.11,,,,,,,,,,,,,
483,,,28.04.11,,,,,,,,,,,,,
484,,,29.04.11,,,,,,,,,,,,,
485,,,30.04.11,,,,,,,,,,,,,
486,,,01.05.11,,,,,,,,,,,,,
487,,,02.05.11,,,,,,,,,,,,,
488,,,03.05.11,,,,,,,,,,,,,
489,,,04.05.11,,,,,,,,,,,,,
490,,,05.05.11,,,,,,,,,,,,,
491,,,06.05.11,,,,,,,,,,,,,
492,,,07.05.11,,,,,,,,,,,,,
493,,,08.05.11,,,,,,,,,,,,,
494,,,09.05.11,,,,,,,,,,,,,
495,,,10.05.11,,,,,,,,,,,,,
496,,,11.05.11,,,,,,,,,,,,,
497,,,12.05.11,,,,,,,,,,,,,
498,,,13.05.11,,,,,,,,,,,,,
499,,,14.05.11,,,,,,,,,,,,,
500,,,15.05.11,,,,,,,,,,,,,
501,,,16.05.11,,,,,,,,,,,,,
502,,,17.05.11,,,,,,,,,,,,,
503,,,18.05.11,,,,,,,,,,,,,
504,,,19.05.11,,,,,,,,,,,,,
505,,,20.05.11,,,,,,,,,,,,,
506,,,21.05.11,,,,,,,,,,,,,
507,,,22.05.11,,,,,,,,,,,,,
508,,,23.05.11,,,,,,,,,,,,,
509,,,24.05.11,,,,,,,,,,,,,
510,,,25.05.11,,,,,,,,,,,,,
511,,,26.05.11,,,,,,,,,,,,,
512,,,27.05.11,,,,,,,,,,,,,
513,,,28.05.11,,,,,,,,,,,,,
514,,,29.05.11,,,,,,,,,,,,,
515,,,30.05.11,,,,,,,,,,,,,
516,,,31.05.11,,,,,,,,,,,,,
517,,,01.06.11,,,,,,,,,,,,,
518,,,02.06.11,,,,,,,,,,,,,
519,,,03.06.11,,,,,,,,,,,,,
520,,,04.06.11,,,,,,,,,,,,,
521,,,05.06.11,,,,,,,,,,,,,
522,,,06.06.11,,,,,,,,,,,,,
523,,,07.06.11,,,,,,,,,,,,,
524,,,08.06.11,,,,,,,,,,,,,
525,,,09.06.11,,,,,,,,,,,,,
526,,,10.06.11,,,,,,,,,,,,,
527,,,11.06.11,,,,,,,,,,,,,
528,,,12.06.11,,,,,,,,,,,,,
529,,,13.06.11,,,,,,,,,,,,,
530,,,14.06.11,,,,,,,,,,,,,
531,,,15.06.11,,,,,,,,,,,,,
532,,,16.06.11,,,,,,,,,,,,,
533,,,17.06.11,,,,,,,,,,,,,
534,,,18.06.11,,,,,,,,,,,,,
535,,,19.06.11,,,,,,,,,,,,,
536,,,20.06.11,,,,,,,,,,,,,
537,,,21.06.11,,,,,,,,,,,,,
538,,,22.06.11,,,,,,,,,,,,,
539,,,23.06.11,,,,,,,,,,,,,
540,,,24.06.11,,,,,,,,,,,,,
541,,,25.06.11,,,,,,,,,,,,,
542,,,26.06.11,,,,,,,,,,,,,
543,,,27.06.11,,,,,,,,,,,,,
544,,,28.06.11,,,,,,,,,,,,,
545,,,29.06.11,,,,,,,,,,,,,
546,,,30.06.11,,,,,,,,,,,,,
547,,,01.07.11,,,,,,,,,,,,,
548,,,02.07.11,,,,,,,,,,,,,
549,,,03.07.11,,,,,,,,,,,,,
550,,,04.07.11,,,,,,,,,,,,,
551,,,05.07.11,,,,,,,,,,,,,
552,,,06.07.11,,,,,,,,,,,,,
553,,,07.07.11,,,,,,,,,,,,,
554,,,08.07.11,,,,,,,,,,,,,
555,,,09.07.11,,,,,,,,,,,,,
556,,,10.07.11,,,,,,,,,,,,,
557,,,11.07.11,,,,,,,,,,,,,
558,,,12.07.11,,,,,,,,,,,,,
559,,,13.07.11,,,,,,,,,,,,,
560,,,14.07.11,,,,,,,,,,,,,
561,,,15.07.11,,,,,,,,,,,,,
562,,,16.07.11,,,,,,,,,,,,,
563,,,17.07.11,,,,,,,,,,,,,
564,,,18.07.11,,,,,,,,,,,,,
565,,,19.07.11,,,,,,,,,,,,,
566,,,20.07.11,,,,,,,,,,,,,
567,,,21.07.11,,,,,,,,,,,,,
568,,,22.07.11,,,,,,,,,,,,,
569,,,23.07.11,,,,,,,,,,,,,
570,,,24.07.11,,,,,,,,,,,,,
571,,,25.07.11,,,,,,,,,,,,,
572,,,26.07.11,,,,,,,,,,,,,
573,,,27.07.11,,,,,,,,,,,,,
574,,,28.07.11,,,,,,,,,,,,,
575,,,29.07.11,,,,,,,,,,,,,
576,,,30.07.11,,,,,,,,,,,,,
577,,,31.07.11,,,,,,,,,,,,,
578,,,01.08.11,,,,,,,,,,,,,
579,,,02.08.11,,,,,,,,,,,,,
580,,,03.08.11,,,,,,,,,,,,,
581,,,04.08.11,,,,,,,,,,,,,
582,,,05.08.11,,,,,,,,,,,,,
583,,,06.08.11,,,,,,,,,,,,,
584,,,07.08.11,,,,,,,,,,,,,
585,,,08.08.11,,,,,,,,,,,,,
586,,,09.08.11,,,,,,,,,,,,,
587,,,10.08.11,,,,,,,,,,,,,
588,,,11.08.11,,,,,,,,,,,,,
589,,,12.08.11,,,,,,,,,,,,,
590,,,13.08.11,,,,,,,,,,,,,
591,,,14.08.11,,,,,,,,,,,,,
592,,,15.08.11,,,,,,,,,,,,,
593,,,16.08.11,,,,,,,,,,,,,
594,,,17.08.11,,,,,,,,,,,,,
595,,,18.08.11,,,,,,,,,,,,,
596,,,19.08.11,,,,,,,,,,,,,
597,,,20.08.11,,,,,,,,,,,,,
598,,,21.08.11,,,,,,,,,,,,,
599,,,22.08.11,,,,,,,,,,,,,
